2026-04-03 20:57:52,716 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-03 20:57:52,716 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-03 20:57:53,602 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-03 20:57:53,632 | INFO | JobAgent.database | database schema and indexes ready
2026-04-03 20:57:57,620 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-03 20:57:59,321 | INFO | JobAgent.tools | reranker model loaded
2026-04-03 20:58:01,497 | INFO | JobAgent.main | application starting
2026-04-03 20:58:07,976 | INFO | JobAgent.redis_client | redis connected: redis://localhost:6379/0
2026-04-03 20:58:10,993 | INFO | JobAgent.user_router | resume task created: task_id=3912ada8bf8f42b2a49043922375d9ca user=00004 file=王来晨-大模型应用开发.pdf
2026-04-03 20:59:06,419 | INFO | JobAgent.user_router | resume task completed: task_id=3912ada8bf8f42b2a49043922375d9ca user=00004
2026-04-03 21:04:30,564 | INFO | JobAgent.main | application shutting down
