2026-04-12 21:50:45,592 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-12 21:50:45,593 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-12 21:50:46,604 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-12 21:50:47,898 | INFO | JobAgent.database | memory extractor model loaded: qwen-max-2025-01-25
2026-04-12 21:50:47,952 | INFO | JobAgent.database | database schema and indexes ready
2026-04-12 21:50:53,794 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-12 21:50:56,484 | INFO | JobAgent.tools | reranker model loaded
2026-04-12 21:50:59,974 | INFO | JobAgent.main | application starting
2026-04-12 21:50:59,975 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:26056:0ec1589d
