2026-04-12 23:09:20,239 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-12 23:09:20,239 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-12 23:09:21,227 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-12 23:09:22,436 | INFO | JobAgent.database | memory extractor model loaded: qwen-max-2025-01-25
2026-04-12 23:09:22,521 | INFO | JobAgent.database | database schema and indexes ready
2026-04-12 23:09:27,116 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-12 23:09:29,477 | INFO | JobAgent.tools | reranker model loaded
2026-04-12 23:09:32,199 | INFO | JobAgent.main | application starting
2026-04-12 23:09:32,201 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:33108:66efc72f
2026-04-12 23:09:32,222 | INFO | JobAgent.redis_client | redis connected: redis://localhost:6379/0
2026-04-12 23:10:22,141 | INFO | JobAgent.resume_task_queue | resume task worker stopped
2026-04-12 23:10:22,142 | INFO | JobAgent.main | application shutting down
