2026-04-12 23:15:38,775 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-12 23:15:38,776 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-12 23:15:39,653 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-12 23:15:40,681 | INFO | JobAgent.database | memory extractor model loaded: qwen-max-2025-01-25
2026-04-12 23:15:40,749 | INFO | JobAgent.database | database schema and indexes ready
2026-04-12 23:15:44,574 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-12 23:15:46,677 | INFO | JobAgent.tools | reranker model loaded
2026-04-12 23:15:49,013 | INFO | JobAgent.main | application starting
2026-04-12 23:15:49,014 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:55276:bbd4b725
