2026-04-12 22:16:49,874 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-12 22:16:49,874 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-12 22:16:50,758 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-12 22:16:51,836 | INFO | JobAgent.database | memory extractor model loaded: qwen-max-2025-01-25
2026-04-12 22:16:51,919 | INFO | JobAgent.database | database schema and indexes ready
2026-04-12 22:16:56,587 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-12 22:16:59,127 | INFO | JobAgent.tools | reranker model loaded
2026-04-12 22:17:01,832 | INFO | JobAgent.main | application starting
2026-04-12 22:17:01,834 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:50744:97818842
2026-04-12 22:17:01,849 | INFO | JobAgent.redis_client | redis connected: redis://localhost:6379/0
2026-04-12 22:17:07,411 | INFO | JobAgent.resume_task_queue | resume task worker stopped
2026-04-12 22:17:07,412 | INFO | JobAgent.main | application shutting down
