2026-04-12 23:08:42,748 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-12 23:08:42,749 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-12 23:08:43,704 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-12 23:08:44,807 | INFO | JobAgent.database | memory extractor model loaded: qwen-max-2025-01-25
2026-04-12 23:08:44,886 | INFO | JobAgent.database | database schema and indexes ready
2026-04-12 23:08:48,981 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-12 23:08:51,455 | INFO | JobAgent.tools | reranker model loaded
2026-04-12 23:08:54,103 | INFO | JobAgent.main | application starting
2026-04-12 23:08:54,104 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:22476:ec668a5d
2026-04-12 23:08:54,129 | INFO | JobAgent.redis_client | redis connected: redis://localhost:6379/0
2026-04-12 23:09:10,782 | INFO | JobAgent.resume_task_queue | resume task worker stopped
2026-04-12 23:09:10,783 | INFO | JobAgent.main | application shutting down
