2026-04-04 14:07:34,420 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-04 14:07:34,420 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-04 14:07:35,208 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-04 14:07:35,233 | INFO | JobAgent.database | database schema and indexes ready
2026-04-04 14:07:39,182 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-04 14:07:41,008 | INFO | JobAgent.tools | reranker model loaded
2026-04-04 14:07:43,214 | INFO | JobAgent.main | application starting
2026-04-04 14:07:43,217 | INFO | JobAgent.resume_task_queue | resume task worker started
2026-04-04 14:07:43,240 | INFO | JobAgent.redis_client | redis connected: redis://localhost:6379/0
2026-04-04 14:08:13,074 | INFO | JobAgent.resume_task_queue | resume task worker stopped
2026-04-04 14:08:13,074 | INFO | JobAgent.main | application shutting down
