2026-04-12 23:24:29,163 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-12 23:24:29,163 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-12 23:24:30,124 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-12 23:24:31,203 | INFO | JobAgent.database | memory extractor model loaded: qwen-max-2025-01-25
2026-04-12 23:24:31,276 | INFO | JobAgent.database | database schema and indexes ready
2026-04-12 23:24:35,398 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-12 23:24:37,726 | INFO | JobAgent.tools | reranker model loaded
2026-04-12 23:24:40,436 | INFO | JobAgent.main | application starting
2026-04-12 23:24:40,438 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:16332:04ed1f22
2026-04-12 23:24:40,455 | INFO | JobAgent.redis_client | redis connected: redis://localhost:6379/0
2026-04-12 23:24:48,806 | INFO | JobAgent.resume_task_queue | resume task worker stopped
2026-04-12 23:24:48,806 | INFO | JobAgent.main | application shutting down
