2026-04-12 23:10:30,984 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-12 23:10:30,984 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-12 23:10:31,809 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-12 23:10:32,770 | INFO | JobAgent.database | memory extractor model loaded: qwen-max-2025-01-25
2026-04-12 23:10:32,843 | INFO | JobAgent.database | database schema and indexes ready
2026-04-12 23:10:36,698 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-12 23:10:39,006 | INFO | JobAgent.tools | reranker model loaded
2026-04-12 23:10:42,237 | INFO | JobAgent.main | application starting
2026-04-12 23:10:42,241 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:52056:06dd048e
2026-04-12 23:10:42,271 | INFO | JobAgent.redis_client | redis connected: redis://localhost:6379/0
2026-04-12 23:15:10,898 | INFO | JobAgent.resume_task_queue | resume task worker stopped
2026-04-12 23:15:10,899 | INFO | JobAgent.main | application shutting down
