2026-04-12 23:26:30,632 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-12 23:26:30,632 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-12 23:26:31,587 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-12 23:26:32,656 | INFO | JobAgent.database | memory extractor model loaded: qwen-max-2025-01-25
2026-04-12 23:26:32,729 | INFO | JobAgent.database | database schema and indexes ready
2026-04-12 23:26:36,899 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-12 23:26:39,323 | INFO | JobAgent.tools | reranker model loaded
2026-04-12 23:26:42,064 | INFO | JobAgent.main | application starting
2026-04-12 23:26:42,066 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:62020:2a3fd44d
