2026-04-12 23:16:36,200 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-12 23:16:36,201 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-12 23:16:37,000 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-12 23:16:38,036 | INFO | JobAgent.database | memory extractor model loaded: qwen-max-2025-01-25
2026-04-12 23:16:38,105 | INFO | JobAgent.database | database schema and indexes ready
2026-04-12 23:16:42,255 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-12 23:16:44,588 | INFO | JobAgent.tools | reranker model loaded
2026-04-12 23:16:46,857 | INFO | JobAgent.main | application starting
2026-04-12 23:16:46,858 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:46700:f31791fc
