2026-04-02 19:41:32,572 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-02 19:41:32,572 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-02 19:41:33,638 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-02 19:41:33,658 | INFO | JobAgent.database | database schema and indexes ready
2026-04-02 19:41:39,179 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-02 19:41:39,181 | WARNING | JobAgent.tools | reranker unavailable, fallback to plain retrieval: Repo id must be in the form 'repo_name' or 'namespace/repo_name': './models/bge-reranker-v2-m3'. Use `repo_type` argument if needed.
2026-04-02 19:41:39,654 | INFO | JobAgent.main | application starting
2026-04-02 19:42:19,146 | INFO | JobAgent.auth_router | user registered: user_id=00004 username=小帅
2026-04-02 19:45:07,899 | INFO | JobAgent.auth_router | user login success: user_id=00004 username=小帅
2026-04-02 19:51:14,403 | INFO | JobAgent.main | application shutting down
