2026-04-12 23:29:31,558 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-12 23:29:31,558 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-12 23:29:32,554 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-12 23:29:33,638 | INFO | JobAgent.database | memory extractor model loaded: qwen-max-2025-01-25
2026-04-12 23:29:33,712 | INFO | JobAgent.database | database schema and indexes ready
2026-04-12 23:29:37,964 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-12 23:29:40,541 | INFO | JobAgent.tools | reranker model loaded
2026-04-12 23:29:43,242 | INFO | JobAgent.main | application starting
2026-04-12 23:29:43,243 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:43048:240e89e4
2026-04-12 23:29:43,265 | INFO | JobAgent.redis_client | redis connected: redis://localhost:6379/0
2026-04-12 23:29:57,004 | INFO | JobAgent.resume_task_queue | resume task worker stopped
2026-04-12 23:29:57,004 | INFO | JobAgent.main | application shutting down
