2026-04-12 23:30:06,576 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-12 23:30:06,576 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-12 23:30:07,505 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-12 23:30:08,575 | INFO | JobAgent.database | memory extractor model loaded: qwen-max-2025-01-25
2026-04-12 23:30:08,649 | INFO | JobAgent.database | database schema and indexes ready
2026-04-12 23:30:12,871 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-12 23:30:15,324 | INFO | JobAgent.tools | reranker model loaded
2026-04-12 23:30:18,120 | INFO | JobAgent.main | application starting
2026-04-12 23:30:18,121 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:30944:d9c26560
