2026-04-12 23:28:41,775 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-12 23:28:41,777 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-12 23:28:42,740 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-12 23:28:43,803 | INFO | JobAgent.database | memory extractor model loaded: qwen-max-2025-01-25
2026-04-12 23:28:43,872 | INFO | JobAgent.database | database schema and indexes ready
2026-04-12 23:28:47,999 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-12 23:28:50,571 | INFO | JobAgent.tools | reranker model loaded
2026-04-12 23:28:53,289 | INFO | JobAgent.main | application starting
2026-04-12 23:28:53,291 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:47868:6dcbbc48
