2026-04-12 21:36:35,479 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-12 21:36:35,479 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-12 21:36:36,207 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-12 21:36:37,138 | INFO | JobAgent.database | memory extractor model loaded: qwen-max-2025-01-25
2026-04-12 21:36:37,172 | INFO | JobAgent.database | database schema and indexes ready
2026-04-12 21:36:41,107 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-12 21:36:43,647 | INFO | JobAgent.tools | reranker model loaded
2026-04-12 21:36:46,285 | INFO | JobAgent.main | application starting
2026-04-12 21:36:46,287 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:36856:8557eeee
