2026-04-12 22:17:17,224 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-12 22:17:17,225 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-12 22:17:18,085 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-12 22:17:19,149 | INFO | JobAgent.database | memory extractor model loaded: qwen-max-2025-01-25
2026-04-12 22:17:19,274 | INFO | JobAgent.database | memory fact keys normalized: migrated=9 deactivated=9
2026-04-12 22:17:19,280 | INFO | JobAgent.database | database schema and indexes ready
2026-04-12 22:17:23,320 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-12 22:17:25,787 | INFO | JobAgent.tools | reranker model loaded
2026-04-12 22:17:28,291 | INFO | JobAgent.main | application starting
2026-04-12 22:17:28,293 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:20152:97a916d8
