2026-04-12 23:05:53,312 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-12 23:05:53,313 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-12 23:05:54,153 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-12 23:05:55,109 | INFO | JobAgent.database | memory extractor model loaded: qwen-max-2025-01-25
2026-04-12 23:05:55,184 | INFO | JobAgent.database | database schema and indexes ready
2026-04-12 23:05:58,781 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-12 23:06:01,226 | INFO | JobAgent.tools | reranker model loaded
2026-04-12 23:06:03,517 | INFO | JobAgent.main | application starting
2026-04-12 23:06:03,519 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:47128:db2efb6a
2026-04-12 23:06:03,542 | INFO | JobAgent.redis_client | redis connected: redis://localhost:6379/0
2026-04-12 23:06:13,322 | INFO | JobAgent.resume_task_queue | resume task worker stopped
2026-04-12 23:06:13,322 | INFO | JobAgent.main | application shutting down
