2026-04-12 23:27:39,533 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-12 23:27:39,533 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-12 23:27:40,497 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-12 23:27:41,627 | INFO | JobAgent.database | memory extractor model loaded: qwen-max-2025-01-25
2026-04-12 23:27:41,701 | INFO | JobAgent.database | database schema and indexes ready
2026-04-12 23:27:45,881 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-12 23:27:48,356 | INFO | JobAgent.tools | reranker model loaded
2026-04-12 23:27:51,121 | INFO | JobAgent.main | application starting
2026-04-12 23:27:51,122 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:47476:60282d49
