2026-04-12 22:18:17,599 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-12 22:18:17,600 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-12 22:18:18,446 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-12 22:18:19,473 | INFO | JobAgent.database | memory extractor model loaded: qwen-max-2025-01-25
2026-04-12 22:18:19,561 | INFO | JobAgent.database | database schema and indexes ready
2026-04-12 22:18:23,401 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-12 22:18:25,491 | INFO | JobAgent.tools | reranker model loaded
2026-04-12 22:18:28,163 | INFO | JobAgent.main | application starting
2026-04-12 22:18:28,165 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:47456:dc56264a
2026-04-12 22:18:28,183 | INFO | JobAgent.redis_client | redis connected: redis://localhost:6379/0
2026-04-12 22:18:40,863 | INFO | JobAgent.resume_task_queue | resume task worker stopped
2026-04-12 22:18:40,863 | INFO | JobAgent.main | application shutting down
