2026-04-10 20:42:27,149 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-10 20:42:27,150 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-10 20:42:27,962 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-10 20:42:27,994 | INFO | JobAgent.database | database schema and indexes ready
2026-04-10 20:42:32,380 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-10 20:42:34,662 | INFO | JobAgent.tools | reranker model loaded
2026-04-10 20:42:37,103 | INFO | JobAgent.main | application starting
2026-04-10 20:42:37,105 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:10052:a0c2fce1
2026-04-10 20:42:37,129 | INFO | JobAgent.redis_client | redis connected: redis://localhost:6379/0
2026-04-10 20:43:12,821 | INFO | JobAgent.resume_task_queue | resume task worker stopped
2026-04-10 20:43:12,821 | INFO | JobAgent.main | application shutting down
