2026-04-12 23:28:00,312 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-12 23:28:00,313 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-12 23:28:01,201 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-12 23:28:02,297 | INFO | JobAgent.database | memory extractor model loaded: qwen-max-2025-01-25
2026-04-12 23:28:02,367 | INFO | JobAgent.database | database schema and indexes ready
2026-04-12 23:28:06,490 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-12 23:28:08,832 | INFO | JobAgent.tools | reranker model loaded
2026-04-12 23:28:11,530 | INFO | JobAgent.main | application starting
2026-04-12 23:28:11,538 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:35144:7923c549
