2026-04-12 23:06:22,983 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-12 23:06:22,984 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-12 23:06:23,905 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-12 23:06:24,966 | INFO | JobAgent.database | memory extractor model loaded: qwen-max-2025-01-25
2026-04-12 23:06:25,041 | INFO | JobAgent.database | database schema and indexes ready
2026-04-12 23:06:29,233 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-12 23:06:31,818 | INFO | JobAgent.tools | reranker model loaded
2026-04-12 23:06:34,652 | INFO | JobAgent.main | application starting
2026-04-12 23:06:34,653 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:48308:25e72b0f
2026-04-12 23:06:34,679 | INFO | JobAgent.redis_client | redis connected: redis://localhost:6379/0
2026-04-12 23:06:48,507 | INFO | JobAgent.resume_task_queue | resume task worker stopped
2026-04-12 23:06:48,508 | INFO | JobAgent.main | application shutting down
