2026-04-04 14:06:56,545 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-04 14:06:56,545 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-04 14:06:57,309 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-04 14:06:57,334 | INFO | JobAgent.database | database schema and indexes ready
2026-04-04 14:07:01,443 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-04 14:07:03,241 | INFO | JobAgent.tools | reranker model loaded
2026-04-04 14:07:05,505 | INFO | JobAgent.main | application starting
2026-04-04 14:07:05,508 | INFO | JobAgent.resume_task_queue | resume task worker started
2026-04-04 14:07:05,529 | INFO | JobAgent.redis_client | redis connected: redis://localhost:6379/0
2026-04-04 14:07:09,977 | INFO | JobAgent.resume_task_queue | resume task worker stopped
2026-04-04 14:07:09,977 | INFO | JobAgent.main | application shutting down
