2026-04-04 14:06:17,873 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-04 14:06:17,873 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-04 14:06:18,678 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-04 14:06:18,720 | INFO | JobAgent.database | database schema and indexes ready
2026-04-04 14:06:23,408 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-04 14:06:25,247 | INFO | JobAgent.tools | reranker model loaded
2026-04-04 14:06:27,949 | INFO | JobAgent.main | application starting
2026-04-04 14:06:27,950 | INFO | JobAgent.resume_task_queue | resume task worker started
2026-04-04 14:06:27,978 | INFO | JobAgent.redis_client | redis connected: redis://localhost:6379/0
2026-04-04 14:06:32,364 | INFO | JobAgent.resume_task_queue | resume task worker stopped
2026-04-04 14:06:32,364 | INFO | JobAgent.main | application shutting down
