2026-04-12 23:30:27,620 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-12 23:30:27,620 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-12 23:30:28,532 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-12 23:30:29,649 | INFO | JobAgent.database | memory extractor model loaded: qwen-max-2025-01-25
2026-04-12 23:30:29,719 | INFO | JobAgent.database | database schema and indexes ready
2026-04-12 23:30:34,262 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-12 23:30:36,678 | INFO | JobAgent.tools | reranker model loaded
2026-04-12 23:30:40,259 | INFO | JobAgent.main | application starting
2026-04-12 23:30:40,261 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:45264:87070d13
