2026-04-12 22:17:37,662 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-12 22:17:37,663 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-12 22:17:38,611 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-12 22:17:39,586 | INFO | JobAgent.database | memory extractor model loaded: qwen-max-2025-01-25
2026-04-12 22:17:39,665 | INFO | JobAgent.database | database schema and indexes ready
2026-04-12 22:17:43,589 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-12 22:17:45,809 | INFO | JobAgent.tools | reranker model loaded
2026-04-12 22:17:48,230 | INFO | JobAgent.main | application starting
2026-04-12 22:17:48,232 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:22724:fb236d05
