2026-04-12 23:26:09,557 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-12 23:26:09,557 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-12 23:26:10,507 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-12 23:26:11,603 | INFO | JobAgent.database | memory extractor model loaded: qwen-max-2025-01-25
2026-04-12 23:26:11,682 | INFO | JobAgent.database | database schema and indexes ready
2026-04-12 23:26:15,827 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-12 23:26:18,194 | INFO | JobAgent.tools | reranker model loaded
2026-04-12 23:26:20,964 | INFO | JobAgent.main | application starting
2026-04-12 23:26:20,965 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:52940:ec635840
