2026-04-10 19:18:51,369 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-10 19:18:51,369 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-10 19:18:52,088 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-10 19:18:52,159 | INFO | JobAgent.database | database schema and indexes ready
2026-04-10 19:19:04,585 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-10 19:19:06,915 | INFO | JobAgent.tools | reranker model loaded
2026-04-10 19:19:10,371 | INFO | JobAgent.main | application starting
2026-04-10 19:19:10,374 | INFO | JobAgent.resume_task_queue | resume task worker started
2026-04-10 19:19:10,381 | INFO | JobAgent.redis_client | redis connected: redis://localhost:6379/0
2026-04-10 19:29:01,518 | INFO | JobAgent.resume_task_queue | resume task worker stopped
2026-04-10 19:29:01,519 | INFO | JobAgent.main | application shutting down
