2026-04-12 23:15:57,671 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-12 23:15:57,672 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-12 23:15:58,606 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-12 23:15:59,728 | INFO | JobAgent.database | memory extractor model loaded: qwen-max-2025-01-25
2026-04-12 23:15:59,811 | INFO | JobAgent.database | database schema and indexes ready
2026-04-12 23:16:03,769 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-12 23:16:06,081 | INFO | JobAgent.tools | reranker model loaded
2026-04-12 23:16:08,514 | INFO | JobAgent.main | application starting
2026-04-12 23:16:08,518 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:41644:2e18c2f2
