2026-04-12 23:28:20,628 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-12 23:28:20,629 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-12 23:28:21,553 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-12 23:28:22,686 | INFO | JobAgent.database | memory extractor model loaded: qwen-max-2025-01-25
2026-04-12 23:28:22,762 | INFO | JobAgent.database | database schema and indexes ready
2026-04-12 23:28:26,960 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-12 23:28:29,370 | INFO | JobAgent.tools | reranker model loaded
2026-04-12 23:28:32,065 | INFO | JobAgent.main | application starting
2026-04-12 23:28:32,073 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:57576:151d1738
