2026-04-04 13:31:55,782 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-04 13:31:55,782 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-04 13:31:56,715 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-04 13:31:56,747 | INFO | JobAgent.database | database schema and indexes ready
2026-04-04 13:32:01,282 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-04 13:32:03,060 | INFO | JobAgent.tools | reranker model loaded
2026-04-04 13:32:05,600 | INFO | JobAgent.main | application starting
2026-04-04 13:32:05,601 | INFO | JobAgent.resume_task_queue | resume task worker started
2026-04-04 13:32:05,610 | INFO | JobAgent.redis_client | redis connected: redis://localhost:6379/0
2026-04-04 13:32:20,457 | INFO | JobAgent.resume_task_queue | resume task worker stopped
2026-04-04 13:32:20,457 | INFO | JobAgent.main | application shutting down
