2026-04-04 21:36:13,854 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-04 21:36:13,854 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-04 21:36:14,781 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-04 21:36:14,812 | INFO | JobAgent.database | database schema and indexes ready
2026-04-04 21:36:14,813 | INFO | JobAgent.schema_cleanup | schema cleanup start (dry_run=False)
2026-04-04 21:36:14,824 | INFO | JobAgent.schema_cleanup | resume structured snapshot migration finished: 1 rows
2026-04-04 21:36:15,065 | INFO | JobAgent.schema_cleanup | legacy memory migration finished: {'profile_rows': 3, 'memory_rows': 8}
2026-04-04 21:36:15,096 | INFO | JobAgent.schema_cleanup | legacy tables dropped: ['resume_structured_profiles', 'long_term_memories', 'user_profiles']
2026-04-04 21:36:15,097 | INFO | JobAgent.schema_cleanup | schema cleanup done: resume_rows=1 memory_profile_rows=3 memory_rows=8 dropped=['resume_structured_profiles', 'long_term_memories', 'user_profiles']
