2026-04-12 23:15:19,674 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-12 23:15:19,676 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-12 23:15:20,478 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-12 23:15:21,470 | INFO | JobAgent.database | memory extractor model loaded: qwen-max-2025-01-25
2026-04-12 23:15:21,553 | INFO | JobAgent.database | database schema and indexes ready
2026-04-12 23:15:25,284 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-12 23:15:27,396 | INFO | JobAgent.tools | reranker model loaded
2026-04-12 23:15:29,685 | INFO | JobAgent.main | application starting
2026-04-12 23:15:29,686 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:47100:362553af
