2026-04-12 23:17:33,520 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-12 23:17:33,521 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-12 23:17:34,489 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-12 23:17:35,584 | INFO | JobAgent.database | memory extractor model loaded: qwen-max-2025-01-25
2026-04-12 23:17:35,655 | INFO | JobAgent.database | database schema and indexes ready
2026-04-12 23:17:40,356 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-12 23:17:42,759 | INFO | JobAgent.tools | reranker model loaded
2026-04-12 23:17:45,491 | INFO | JobAgent.main | application starting
2026-04-12 23:17:45,499 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:43144:59b823b0
2026-04-12 23:17:45,521 | INFO | JobAgent.redis_client | redis connected: redis://localhost:6379/0
2026-04-12 23:24:19,055 | INFO | JobAgent.resume_task_queue | resume task worker stopped
2026-04-12 23:24:19,055 | INFO | JobAgent.main | application shutting down
